Country.x,State.Region,City,Meetup,Twitter,Email,Facebook,Instagram,Periscope,Youtube,GitHub,Website,Slack,Organizers,Status,Country.y,City.y,Region.x,Population.x,Latitude.x,Longitude.x,Country.x.x,City.y.y,Region.y,Population.y,Latitude.y,Longitude.y,Country.y.y,City.y.y.y,Region,Population,Latitude,Longitude
Argentina,Santa Fe,Santa Fe,https://www.meetup.com/rladies-santa-fe/,https://twitter.com/RLadiesSantaFe,santafe@rladies.org,https://www.facebook.com/RLadiesSantaFe/,https://www.instagram.com/rladiessantafe/,NA,https://www.youtube.com/channel/UCOFcXLjW9atcEuCa5kbOPSw,https://github.com/rladies/meetup-presentations_santafe,NA,NA,"Melina Vidoni, Liza Dosso, Andrea Bergesio, Mariel Lovatto, Cecilia Román Miyasato",Active,ar,santa fe,21,456044,-31.629484,-60.701036,ar,santa fe,21,456044,-31.629484,-60.701036,ar,santa fe,21,456044,-31.629484,-60.701036
Argentina,Tierra del Fuego,Ushuaia,https://www.meetup.com/rladies-ushuaia/,https://twitter.com/RLadiesUshuaia,ushuaia@rladies.org,NA,NA,NA,NA,https://github.com/rladies/meetup-presentations_ushuaia,NA,NA,Lucía Rodríguez Planes,Active,ar,ushuaia,23,58045,-54.8,-68.3,ar,ushuaia,23,58045,-54.8,-68.3,ar,ushuaia,23,58045,-54.8,-68.3
Australia,NA,Adelaide,https://www.meetup.com/rladies-adelaide/,https://twitter.com/RLadiesAdelaide,adelaide@rladies.org,NA,NA,NA,NA,https://github.com/rladies/meetup-presentations_adelaide,NA,NA,"Marija Dmitrijeva, Helen Dockrell, Rachel Searston, Melaine Smith, Brittany Child",Active,au,adelaide,05,1074168,-34.928661,138.598633,au,adelaide,05,1074168,-34.928661,138.598633,au,adelaide,05,1074168,-34.928661,138.598633
Australia,NA,Cairns,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martha Cooper,Prospective,au,cairns,04,154318,-16.92304,145.766251,au,cairns,04,154318,-16.92304,145.766251,au,cairns,04,154318,-16.92304,145.766251
Australia,NA,Canberra,https://www.meetup.com/rladies-canberra/,https://twitter.com/RLadiesCanberra,canberra@rladies.org,NA,NA,NA,NA,NA,NA,NA,"Emi Tanaka, Alice Richardson, Petra Kuhnert, Pauline O'Shaughnessy, Jiali Wang",Active,au,canberra,01,324025,-35.27603,149.13435,au,canberra,01,324025,-35.27603,149.13435,au,canberra,01,324025,-35.27603,149.13435
Australia,NA,Melbourne,https://www.meetup.com/rladies-melbourne/,https://twitter.com/RLadiesMelb,melbourne@rladies.org,https://www.facebook.com/RladiesMelbourne,NA,NA,NA,https://github.com/rladies/meetup-presentations_melbourne,NA,NA,"Anna Quaglieri, Sepideh Foroutan, Alex Garnham, Marie Trussart, Lucy Liu, Adele Barugahare, Nikki Rubinson",Active,au,melbourne,07,3730212,-37.813938,144.963425,au,melbourne,07,3730212,-37.813938,144.963425,au,melbourne,07,3730212,-37.813938,144.963425
Australia,NA,Perth,https://www.meetup.com/rladies-perth/,https://twitter.com/rladiesperth,perth@rladies.org,NA,NA,NA,NA,NA,NA,NA,"Alyce Russell, Nicola Armstrong, Rebecca Lange, Sarita Bennett",Active,au,perth,06,NA,-41.571509999999996,147.171295,au,perth,06,NA,-41.571509999999996,147.171295,au,perth,06,NA,-41.571509999999996,147.171295
Australia,NA,Sydney,https://www.meetup.com/rladies-sydney/,https://twitter.com/RLadiesSydney,sydney@rladies.org,NA,NA,NA,NA,https://github.com/rladiessydney,https://rladiessydney.org/,NA,Jenny Richmond,Active,au,sydney,02,4394585,-33.861481,151.205475,au,sydney,02,4394585,-33.861481,151.205475,au,sydney,02,4394585,-33.861481,151.205475
Australia,NA,Townsville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Legana Fingerhut,Prospective,au,townsville,04,138959,-19.266389999999998,146.805695,au,townsville,04,138959,-19.266389999999998,146.805695,au,townsville,04,138959,-19.266389999999998,146.805695
Australia,Queensland,Brisbane,https://www.meetup.com/rladies-brisbane/,https://twitter.com/RLadiesBrisbane,brisbane@rladies.org,NA,NA,NA,NA,https://github.com/rladies/meetup-presentations_brisbane,NA,r-ladiesbrisbane.slack.com,Paula Andrea Martinez,Active,au,brisbane,04,1843459,-27.471009999999996,153.024292,au,brisbane,04,1843459,-27.471009999999996,153.024292,au,brisbane,04,1843459,-27.471009999999996,153.024292
Austria,NA,Linz,https://www.meetup.com/rladies-linz/,https://twitter.com/RladiesLinz,linz@rladies.org,NA,NA,NA,NA,https://github.com/rladies/meetup-presentations_linz,NA,NA,Lucia Gjeltema,Retired on 29-09-2019,at,linz,04,181163,48.3,14.3,at,linz,04,181163,48.3,14.3,at,linz,04,181163,48.3,14.3
Austria,NA,Vienna,https://www.meetup.com/rladies-vienna/,https://twitter.com/RLadiesVienna,vienna@rladies.org,NA,NA,NA,NA,NA,NA,NA,Laura Vana,Active,at,vienna,09,1569315,48.2,16.366667,at,vienna,09,1569315,48.2,16.366667,at,vienna,09,1569315,48.2,16.366667
Bahrain,NA,Muharraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fatima Alaradi,Prospective,bh,muharraq,03,NA,26.2572222,50.6119444,bh,muharraq,03,NA,26.2572222,50.6119444,bh,muharraq,03,NA,26.2572222,50.6119444
Belgium,NA,Brussels,https://www.meetup.com/rladies-brussels/,https://twitter.com/RladiesBrussels,brussels@rladies.org,NA,NA,NA,NA,https://github.com/rladies/meetup-presentations_brussels,NA,NA,"Suzan Baert, Huong Nguyen",Active,be,brussels,11,1019022,50.833333,4.3333330000000005,be,brussels,11,1019022,50.833333,4.3333330000000005,be,brussels,11,1019022,50.833333,4.3333330000000005
Belgium,NA,Leuven,https://www.meetup.com/rladies-leuven/,https://twitter.com/RLadiesLeuven,leuven@rladies.org,NA,NA,NA,NA,https://github.com/rladies/meetup-presentations_leuven,NA,NA,"Theresa Elise Wege, Veronica Llorens",Active,be,leuven,12,92892,50.883333,4.7,be,leuven,12,92892,50.883333,4.7,be,leuven,12,92892,50.883333,4.7
Benin,NA,Cotonou,https://www.meetup.com/rladies-cotonou/,https://twitter.com/RLadiesCtn,cotonou@rladies.org,NA,NA,NA,NA,NA,NA,NA,"Nadejda Sero, Benedicta Essuon",Active,bj,cotonou,14,690584,6.35,2.4333332999999997,bj,cotonou,14,690584,6.35,2.4333332999999997,bj,cotonou,14,690584,6.35,2.4333332999999997
Bolivia,NA,La Paz,https://www.meetup.com/rladies-la-paz/,NA,lapaz@rladies.org,https://facebook.com/rladieslapaz,NA,NA,NA,NA,NA,NA,"Nathaly Alarcon, Orietha Castillo",Active,ar,la paz,01,NA,-35.3812,-59.386398,ar,la paz,01,NA,-35.3812,-59.386398,ar,la paz,01,NA,-35.3812,-59.386398
Brazil,NA,Brasilia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glélcia Oliveira de Farias,Prospective,bo,brasilia,03,NA,-14.683333300000001,-65.1166667,bo,brasilia,03,NA,-14.683333300000001,-65.1166667,bo,brasilia,03,NA,-14.683333300000001,-65.1166667
Brazil,Amazonas,Manaus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Themis Leão, Amazoneida Pinheiro, Camila Pinheiro, Márcia Brandão, Jocely Lopes, Paula dos Santos, Emilly Malveira, Hanna Oliveira, Yanna de Freitas, Ewila Costa",Prospective,br,manaus,04,1598227,-3.1133330000000004,-60.025278,br,manaus,04,1598227,-3.1133330000000004,-60.025278,br,manaus,04,1598227,-3.1133330000000004,-60.025278
Brazil,Bahia,Salvador,https://www.meetup.com/rladies-salvador/,https://twitter.com/RLadiesSalvador,salvador@rladies.org,NA,NA,NA,NA,NA,NA,NA,"Karla Patricia Santos Oliveira Rodriguez Esquerre, Júlia Carolina",Active,ao,salvador,02,NA,-11.395776,15.792647,ao,salvador,02,NA,-11.395776,15.792647,ao,salvador,02,NA,-11.395776,15.792647
Brazil,Espírito Santo,Vitória,https://www.meetup.com/rladies-vitória/,NA,vitoria@rladies.org,NA,NA,NA,NA,https://github.com/rladies/meetup-presentations_vitoria,NA,NA,"Ornella Scardua, Agatha Rodrigues",Active,ao,vitoria,12,NA,-7.758723,16.630148000000002,ao,vitoria,12,NA,-7.758723,16.630148000000002,ao,vitoria,12,NA,-7.758723,16.630148000000002
Brazil,Goiás,Goiânia,https://www.meetup.com/rladies-goiania/,NA,goiania@rladies.org,NA,NA,NA,NA,NA,NA,NA,Fernanda Kelly,Active,br,goiania,29,1171209,-16.666667,-49.266667,br,goiania,29,1171209,-16.666667,-49.266667,br,goiania,29,1171209,-16.666667,-49.266667
Brazil,Minas Gerais,Belo Horizonte,https://www.meetup.com/rladies-belo-horizonte/,https://twitter.com/RLadiesBH,belohorizonte@rladies.org,https://www.facebook.com/rladiesbh,https://www.instagram.com/rladiesbh/,NA,NA,https://github.com/rladies/meetup-presentations_belohorizonte,http://rladiesbh.com.br/,NA,"Layla Comparin, Larissa Fernandes, Numiá Gomes",Active,ao,belo horizonte,02,NA,-11.590095,16.54606,ao,belo horizonte,02,NA,-11.590095,16.54606,ao,belo horizonte,02,NA,-11.590095,16.54606
Brazil,Minas Gerais,Lavras,https://www.meetup.com/rladies-lavras/,NA,lavras@rladies.org,NA,NA,NA,NA,NA,NA,NA,"Izabela Oliveira, Paula Santos",Active,br,lavras,06,NA,-6.75,-38.95,br,lavras,06,NA,-6.75,-38.95,br,lavras,06,NA,-6.75,-38.95
Brazil,Paraiba,Campina Grande,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hadrizia Santos, Dandara Sousa",Prospective,br,campina grande,03,NA,0.183333,-51.116667,br,campina grande,03,NA,0.183333,-51.116667,br,campina grande,03,NA,0.183333,-51.116667
Brazil,Parana,Curitiba,https://www.meetup.com/rladies-curitiba/,NA,curitiba@rladies.org,NA,NA,NA,NA,https://github.com/rladies/meetup-presentations_curitiba,NA,NA,"Bruna Wundervald, Larissa Ferreira, Aline, Maria Helena Oliveira",Active,br,curitiba,18,1718433,-25.416667,-49.25,br,curitiba,18,1718433,-25.416667,-49.25,br,curitiba,18,1718433,-25.416667,-49.25
Brazil,Pernambuco,Recife,https://www.meetup.com/rladies-recife/,NA,recife@rladies.org,NA,NA,NA,NA,https://github.com/rladies/meetup-presentations_recife,NA,NA,"Larissa Lima, Nathália Demetrio Vasconcelos Moura, Edneide Ramalho, Anny Kerollayny, Bruna Gregory Palm, Cristine Rauber Oliveira, Anabeth Petry Radünz, Ranah Duarte Costa, Luana Rodrigues, Heloisa de Melo Rodrigues",Active,br,recife,04,NA,-6.879167,-71.063056,br,recife,04,NA,-6.879167,-71.063056,br,recife,04,NA,-6.879167,-71.063056
Brazil,Piaui,Teresina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rita de Cássia de Lima Idalino,Prospective,br,teresina,20,744526,-5.0833330000000005,-42.816666999999995,br,teresina,20,744526,-5.0833330000000005,-42.816666999999995,br,teresina,20,744526,-5.0833330000000005,-42.816666999999995
Brazil,Rio de Janeiro,Niteroi,https://www.meetup.com/rladies-niteroi/,NA,niteroi@rladies.org,NA,NA,NA,NA,NA,NA,NA,"Noelle Camello, Luciane Alcoforado, Julia Hellen Franco Ferreira",Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,Rio de Janeiro,Rio de Janeiro,https://www.meetup.com/rladies-rio/,https://twitter.com/RLadiesRio,rio@rladies.org,https://www.facebook.com/rladiesrio,https://www.instagram.com/Rladiesrio/,NA,NA,https://github.com/rladies/meetup-presentations_rio,NA,NA,"Andrea Sánchez-Tapia, Beatriz Pinna, Clemencia Mora, Helena Riveiro, Priscila Hohberg, Sara Mortara",Active,br,rio de janeiro,21,6023742,-22.9,-43.233333,br,rio de janeiro,21,6023742,-22.9,-43.233333,br,rio de janeiro,21,6023742,-22.9,-43.233333
Brazil,Rio Grande do Norte,Natal,https://www.meetup.com/rladies-natal/,https://twitter.com/RladiesNatal,natal@rladies.org,https://www.facebook.com/R-ladies-Natal-1601745646525923/,NA,NA,NA,https://github.com/rladies/meetup-presentations_natal,NA,NA,"Lumi Mevi, Iara Dantas de Souza",Active,bo,natal,06,NA,-10.9666667,-69.25,bo,natal,06,NA,-10.9666667,-69.25,bo,natal,06,NA,-10.9666667,-69.25
Brazil,Rio Grande do Sul,Porto Alegre,https://www.meetup.com/rladies-porto-alegre/,https://twitter.com/RLadiesPOA,poa@rladies.org,https://www.facebook.com/RLadiesPortoAlegre/,NA,NA,NA,NA,NA,NA,Iara Passos,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,Santa Catarina,Florianópolis,https://www.meetup.com/rladies-florianopolis/,https://twitter.com/RLadiesFloripa,florianopolis@rladies.org,NA,NA,NA,NA,NA,NA,NA,Camila Thais Weber,Active,br,florianopolis,01,NA,-7.7,-72.65,br,florianopolis,01,NA,-7.7,-72.65,br,florianopolis,01,NA,-7.7,-72.65
Brazil,Santa Catarina,Lages,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simone Silmara Werner,Prospective,br,lages,05,NA,-10.933333,-42.35,br,lages,05,NA,-10.933333,-42.35,br,lages,05,NA,-10.933333,-42.35
Brazil,São Paulo,Americana,https://www.meetup.com/rladies-americana/,https://twitter.com/RLadiesAME,NA,NA,NA,NA,NA,NA,NA,NA,Mariana Mendes,Retired on 29-09-2019,br,americana,27,196026,-22.740278,-47.334444,br,americana,27,196026,-22.740278,-47.334444,br,americana,27,196026,-22.740278,-47.334444
Brazil,São Paulo,Piracicaba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cristiane Hayumi Taniguti,Prospective,br,piracicaba,15,NA,-18.483333,-48.433333000000005,br,piracicaba,15,NA,-18.483333,-48.433333000000005,br,piracicaba,15,NA,-18.483333,-48.433333000000005
Brazil,São Paulo,Ribeirão Preto,https://www.meetup.com/rladies-ribeirao-preto/,NA,NA,NA,NA,NA,NA,NA,NA,NA,Francesca Belem Lopes Palmeira,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,São Paulo,São Carlos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mayara Formenton, Marina de Souza Paiva",Prospective,br,sao carlos,11,NA,-21.35,-55.233332999999995,br,sao carlos,11,NA,-21.35,-55.233332999999995,br,sao carlos,11,NA,-21.35,-55.233332999999995
Brazil,São Paulo,São José dos Campos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Letícia Silva,Prospective,br,sao jose dos campos,15,NA,-22.166667,-45.1,br,sao jose dos campos,15,NA,-22.166667,-45.1,br,sao jose dos campos,15,NA,-22.166667,-45.1
Brazil,São Paulo,São Paulo,https://www.meetup.com/rladies-sao-paulo/,https://twitter.com/RLadiesSaoPaulo,saopaulo@rladies.org,https://www.facebook.com/rladiessaopaulo/,https://www.instagram.com/rladiessaopaulo/,NA,NA,https://github.com/rladies/meetup-presentations_sao-paulo,NA,NA,"Haydée Svab,  Alissa Munerato, Bruna Wundervald, Beatriz Milz, Bruna Garbes, Nathália Demetrio",Active,ao,sao paulo,05,NA,-9.151022,14.509003,ao,sao paulo,05,NA,-9.151022,14.509003,ao,sao paulo,05,NA,-9.151022,14.509003
Brazil,Tocantins,Palmas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Katiuscia Martos,Prospective,ar,palmas,03,NA,-27.058490000000003,-58.693627,ar,palmas,03,NA,-27.058490000000003,-58.693627,ar,palmas,03,NA,-27.058490000000003,-58.693627
Bulgaria,NA,Sofia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimi Lazarova,Prospective,bg,sofia,42,1062065,42.6833333,23.3166667,bg,sofia,42,1062065,42.6833333,23.3166667,bg,sofia,42,1062065,42.6833333,23.3166667
Cameroon,NA,Yaounde,https://www.meetup.com/rladies-yaounde/,NA,yaounde@rladies.org,NA,NA,NA,NA,NA,NA,NA,Marie Therese Feujio,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,Alberta,Calgary,https://www.meetup.com/rladies-calgary/,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marta Vidal García, Soane Mota dos Santos",Active,ca,calgary,01,968475,51.083333,-114.08333300000001,ca,calgary,01,968475,51.083333,-114.08333300000001,ca,calgary,01,968475,51.083333,-114.08333300000001
Canada,Alberta,Edmonton,NA,NA,edmonton@rladies.org,NA,NA,NA,NA,NA,NA,NA,Sarah Sheldon,Prospective,au,edmonton,04,NA,-17.016667,145.75,au,edmonton,04,NA,-17.016667,145.75,au,edmonton,04,NA,-17.016667,145.75
Canada,British Columbia,Vancouver,https://www.meetup.com/rladies-vancouver/,https://twitter.com/RLadiesVan,vancouver@rladies.org,NA,NA,NA,NA,https://github.com/rladies/meetup-presentations_vancouver,NA,NA,"Anna Posacka, Marion Shadbol, Nazlı Özüm Kafaee, Raïssa Philibert, Jasmine Lai, Lucia Darrow, Lisa Cao",Active,ca,vancouver,02,1837970,49.25,-123.13333300000001,ca,vancouver,02,1837970,49.25,-123.13333300000001,ca,vancouver,02,1837970,49.25,-123.13333300000001
Canada,British Columbia,Victoria,https://www.meetup.com/rladies-victoria/,https://twitter.com/RLadiesVicBC,victoriabc@rladies.org,NA,NA,NA,NA,https://github.com/RLadiesVicBC,NA,NA,Lisa McEwen,Retired on 29-09-2019,ar,victoria,01,NA,-34.453346999999994,-58.5371,ar,victoria,01,NA,-34.453346999999994,-58.5371,ar,victoria,01,NA,-34.453346999999994,-58.5371
Canada,Manitoba,Winnipeg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sarah Mutch,Prospective,ca,winnipeg,03,632069,49.883333,-97.166667,ca,winnipeg,03,632069,49.883333,-97.166667,ca,winnipeg,03,632069,49.883333,-97.166667
Canada,Ontario,London,https://www.meetup.com/rladies-ldnont/,https://twitter.com/RLadiesLdnOnt,ldnont@rladies.org,https://www.facebook.com/rladiesldnont,NA,NA,NA,https://github.com/rladies/meetup-presentations_london_ontario,NA,NA,"Daryn Cushnie-Sparrow, Caitlin Coughler, Olivia Daub",Active,bz,london,04,NA,17.9833333,-88.4333333,bz,london,04,NA,17.9833333,-88.4333333,bz,london,04,NA,17.9833333,-88.4333333
Canada,Ontario,Ottawa,https://www.meetup.com/rladies-ottawa/,NA,ottawa@rladies.org,NA,NA,NA,NA,NA,NA,NA,"Michelle Fairbrother, Stephanie Houle",Active,ca,ottawa,08,874433,45.416667,-75.7,ca,ottawa,08,874433,45.416667,-75.7,ca,ottawa,08,874433,45.416667,-75.7
Canada,Ontario,Toronto,https://www.meetup.com/rladies-toronto/,https://twitter.com/rladiestoronto,toronto@rladies.org,NA,NA,NA,NA,https://github.com/rladies/meetup-presentations_toronto,NA,rladiestoronto.slack.com,"Sharla Gelfand, Monica Alexander, Nicole Radziwill",Active,au,toronto,02,NA,-33,151.6,au,toronto,02,NA,-33,151.6,au,toronto,02,NA,-33,151.6
Canada,Ontario,Waterloo,https://www.meetup.com/rladies-waterloo/,https://twitter.com/RLadiesWaterloo,waterloo@rladies.org,NA,NA,NA,NA,NA,NA,NA,Lauren Yee,Retired on 29-09-2019,au,waterloo,02,NA,-31.033333000000002,151.716667,au,waterloo,02,NA,-31.033333000000002,151.716667,au,waterloo,02,NA,-31.033333000000002,151.716667
Canada,Québec,Montréal,https://www.meetup.com/rladies-montreal/,https://twitter.com/RLadiesMTL,montreal@rladies.org,NA,NA,NA,NA,https://github.com/rladies/meetup-presentations_montreal,NA,NA,"Corinne Riddell, Kathryn Morrison",Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,NA,Concepción,https://www.meetup.com/rladies-conception/,NA,concepcion@rladies.org,NA,NA,NA,NA,NA,NA,NA,"Macarena Valenzuela Beltrán, Camila Molina",Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,Metropolitana,Santiago de Chile,https://www.meetup.com/rladies-scl/,https://twitter.com/RLadiesSantiago,santiago@rladies.org,https://www.facebook.com/RLadiesSantiago/,NA,NA,NA,https://github.com/rladies/meetup-presentations_santiago,NA,NA,"Gabriela Sandoval, Riva Quiroga",Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,Valparaíso,Valparaíso,https://www.meetup.com/rladies-valparaiso/,https://twitter.com/RLadiesValpo,valparaiso@rladies.org,https://www.facebook.com/RLadiesValpo/,NA,NA,NA,NA,NA,NA,"Riva Quiroga, Lissy Arce",Active,bo,valparaiso,06,NA,-10.9,-66.1,bo,valparaiso,06,NA,-10.9,-66.1,bo,valparaiso,06,NA,-10.9,-66.1
China,NA,Beijing,https://www.meetup.com/rladies-beijing/,NA,beijing@rladies.org,NA,NA,NA,NA,NA,NA,NA,"Xu Sabrina, Zuqun WANG, Hannah Rose Kirk, Clara WANG, Xiaolin LIU, Yujie GUO, Angelle LIU",Active,cn,beijing,03,NA,29.346443,116.198733,cn,beijing,03,NA,29.346443,116.198733,cn,beijing,03,NA,29.346443,116.198733
Colombia,NA,Bogotá,https://www.meetup.com/rladies-bogota/,https://twitter.com/RLadiesBogota,bogota@rladies.org,NA,NA,NA,NA,NA,NA,NA,Verónica Toro,Active,co,bogota,16,NA,3.03,-75.166667,co,bogota,16,NA,3.03,-75.166667,co,bogota,16,NA,3.03,-75.166667
Colombia,NA,Bucaramanga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Viviana Romero Alarcon,Prospective,co,bucaramanga,12,NA,8.788333,-76.035556,co,bucaramanga,12,NA,8.788333,-76.035556,co,bucaramanga,12,NA,8.788333,-76.035556
Colombia,NA,Manizales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beatriz Mira,Prospective,co,manizales,02,NA,6.446667,-74.96722199999999,co,manizales,02,NA,6.446667,-74.96722199999999,co,manizales,02,NA,6.446667,-74.96722199999999
Colombia,NA,Medellin,https://www.meetup.com/rladies-medellin/,NA,medellin@rladies.org,NA,NA,NA,NA,NA,NA,NA,"Angie Correa, Valentina Clavijo, Sara Garcés, Olga Úsuga, Carmen Patiño",Active,ar,medellin,22,NA,-28.653377000000003,-63.787369999999996,ar,medellin,22,NA,-28.653377000000003,-63.787369999999996,ar,medellin,22,NA,-28.653377000000003,-63.787369999999996
Costa Rica,NA,San José,https://www.meetup.com/rladies-san-jose/,https://twitter.com/RLadiesCR,sanjoseCR@rladies.org,https://www.facebook.com/R-Ladies-San-Jos%C3%A9-CR-113831192660935,NA,NA,NA,https://github.com/rladies/meetup-presentations_sanjose,NA,NA,"Marcela Alfaro-Córdoba, Fabiola Salazar, Jimena Ruiz, Andrea Vargas, Daniely Hernández, María Paula Mesen, Paula Rodríguez",Active,an,san jose,00,NA,12.116666699999998,-68.2333333,an,san jose,00,NA,12.116666699999998,-68.2333333,an,san jose,00,NA,12.116666699999998,-68.2333333
